EmployeeID,FullName,Gender,Citizenship,LanguagesSpoken,Department,AnnualSalary,SocialSecurityNumber,Age,YearsOfExperience
158,Jeremy Anderson,Male,India,"Mandarin, Mandarin",Product,152650.28,494-36-5247,64,45
159,Maurice Gray,Male,Philippines,French,I/T,122976.24,643-07-5760,34,16
160,James Riley,Female,China,Mandarin,Operations,94100.92,289-69-5434,66,44
161,Lisa Thomas,Female,USA,None,Operations,75069.89,619-77-1049,49,27
162,Manuel Brown,Male,USA,"Arabic, French",Sales,43148.97,424-95-5122,24,5
163,Derrick Alvarez,Male,China,Hindi,I/T,114446.82,558-45-9407,30,11
164,Julia Stewart,Female,USA,Spanish,Finance,58944.8,137-62-9816,29,7
165,Melinda Wallace,Male,USA,None,Operations,64041.33,171-88-1464,56,36
166,William Chambers,Female,Philippines,None,Product,100157.67,422-20-1901,55,35
167,Edward Mann,Male,USA,Hindi,Administrative,132357.32,755-14-3930,67,47
168,Stephanie Stewart,Female,USA,None,I/T,95212.29,717-44-2636,50,31
169,Christopher Clark PhD,Female,USA,None,Finance,150338.39,841-32-8996,42,20
170,Amy Henderson,Female,USA,None,Marketing,111743.3,116-69-7640,44,26
171,Matthew Rodriguez,Female,China,"Arabic, Arabic",Human Resource,121071.23,750-60-3610,60,39
172,Brittany Kennedy,Male,USA,Mandarin,Marketing,110655.97,715-02-3862,32,14
173,Kevin Berry,Female,USA,Mandarin,Operations,76136.31,132-99-8118,45,24
174,Peggy Santos,Female,USA,"Mandarin, Spanish",Sales,133091.21,384-02-2066,60,39
175,Timothy Ramsey DVM,Male,USA,"Spanish, Mandarin",I/T,79159.38,412-51-6925,30,10
176,Margaret Berry,Female,USA,Hindi,Operations,102649.19,369-11-1413,49,31
177,Nicholas Harvey,Male,Philippines,"Mandarin, Arabic",Operations,49792.06,847-34-1193,39,17
178,Andrew Kelly,Female,Canada,Arabic,Operations,124876.76,041-28-4256,40,22
179,Vickie Todd,Male,USA,"French, Spanish",Product,153685.83,461-22-5207,45,26
180,Paul Wilson,Female,USA,None,Product,95619.01,070-90-3647,30,11
181,Richard Garcia,Female,USA,Mandarin,I/T,146136.51,415-22-7689,40,18
182,Shawn Stevenson,Male,USA,None,Legal,49597.19,115-68-7693,37,15
183,Jessica Williams,Female,USA,Hindi,Product,86521.34,628-18-9923,52,34
184,Luis Mcfarland,Male,USA,None,Human Resource,147425.32,377-10-6370,29,10
185,Suzanne Anderson,Male,USA,Mandarin,Operations,50712.0,363-83-6265,28,7
186,Donald Burns,Male,USA,"Hindi, Arabic",Administrative,78919.98,635-79-0556,24,2
187,Cynthia Murphy,Female,India,Mandarin,Human Resource,135752.37,744-55-4722,41,19
188,Joseph Harris,Female,USA,"Mandarin, Mandarin",Operations,154123.73,101-19-2169,57,39
189,Matthew Thomas,Male,India,None,Operations,154546.43,890-41-3713,31,10
190,Gregory West,Male,USA,Hindi,Human Resource,120635.68,566-46-4831,37,18
191,Andrew Pittman,Female,China,Hindi,Product,72338.95,852-20-5585,45,27
192,Stacie Hunt,Female,USA,French,Sales,60893.88,662-11-1898,52,30
193,Melissa Haley,Male,Canada,Spanish,Operations,109182.08,841-60-5187,38,16
194,Tim Johnson,Male,India,None,Operations,68851.83,545-42-8661,64,44
195,Vanessa Young,Female,China,"Arabic, Arabic",Marketing,47466.57,880-84-3829,45,27
196,Angela Michael,Female,Taiwan,Mandarin,Operations,93681.36,856-19-0774,40,22
197,Alan Lutz,Male,China,None,Product,52211.19,081-62-5243,40,22
198,Elizabeth Bradford,Male,USA,Arabic,Finance,102397.91,068-10-9870,46,25
199,Melanie Salazar,Female,China,French,Marketing,105157.58,004-23-3554,38,20
200,Matthew Porter,Male,USA,"Mandarin, Mandarin",Product,94257.52,722-44-8068,26,6
201,Travis Weber,Female,USA,"Hindi, Spanish",Operations,151989.14,642-45-4239,66,48
202,Timothy Frost MD,Male,India,Arabic,Operations,61880.89,740-13-0093,57,36
203,Julie Contreras,Female,China,French,Product,41878.31,536-55-6830,35,14
204,Kyle Clarke,Female,USA,"Spanish, French",Product,90731.32,401-15-6177,69,51
205,Taylor Lynch,Female,USA,"Hindi, French",Product,122088.48,168-76-4155,47,28
206,Erin Johnson,Female,USA,None,Operations,108999.62,714-40-9252,66,46
207,Jose Harris,Female,Canada,French,Finance,152604.19,540-86-7224,60,39
208,Jessica Franco,Male,India,None,Human Resource,119775.92,363-91-3673,44,26
209,William Rhodes,Female,USA,None,Product,95059.99,788-81-0297,45,26
210,Steven Fuller,Male,China,None,Marketing,152845.98,595-37-2486,35,15
211,Jessica Woodward,Female,China,"Hindi, Arabic",Administrative,47134.65,137-97-7923,59,39
212,Eric Davis,Female,USA,"Mandarin, French",Marketing,111355.56,008-12-8730,32,11
213,Kenneth Potts,Male,USA,Hindi,Finance,90641.88,532-25-3646,53,34
214,Justin Chambers,Male,USA,None,Product,133706.03,825-65-6786,59,38
215,Donna Gutierrez,Male,India,"French, Hindi",Product,69212.08,253-43-0525,40,18
216,Amy Nichols,Male,India,"French, Spanish",Operations,111802.71,373-33-4651,40,18
217,Charles Price,Male,China,French,Product,101905.63,741-63-6024,48,28
218,Anna Price,Male,USA,None,Operations,121242.14,235-65-4852,28,7
219,Alexandria Stevens,Male,USA,None,Marketing,141722.6,111-11-3477,49,27
220,Steven Myers,Male,India,Mandarin,Product,152213.49,448-31-6116,50,29
221,Robyn Clay DDS,Male,USA,None,Marketing,129762.5,303-92-7419,26,7
222,Tyrone Diaz,Female,USA,None,Marketing,103005.13,639-07-5669,43,21
223,Allison Reed,Female,USA,"Hindi, Spanish",Operations,156787.7,197-97-0559,57,39
224,Gregory Thomas,Male,USA,"Hindi, Spanish",I/T,98180.67,600-04-8453,52,32
225,Keith Ford,Male,USA,"Spanish, Hindi",Administrative,112389.94,594-90-7074,30,11
226,Sarah Allen,Female,USA,None,Product,132866.15,612-08-4031,55,37
227,Alex Ramirez,Male,USA,None,Product,51557.27,027-55-1358,60,42
228,Tracy Russell,Male,USA,None,Sales,129455.82,244-63-6971,32,11
229,Erin Leach,Male,USA,"French, French",Operations,122171.95,096-29-3106,34,15
230,Patrick Kent,Male,USA,None,I/T,145715.79,177-36-5139,53,31
231,Steven Newman,Female,USA,French,Legal,60837.4,550-19-5362,58,36
232,Patricia Leonard MD,Male,USA,"Arabic, Hindi",Administrative,132591.53,509-79-1519,32,10
233,Andrea Aguilar,Female,India,Spanish,Operations,92830.79,047-93-9289,31,10
234,Pamela Pierce,Male,Canada,None,Sales,149358.17,613-50-6376,67,47
235,Darlene Sparks,Female,USA,None,Human Resource,66374.49,136-82-8767,59,40
236,Tiffany Yang,Female,China,"Arabic, Mandarin",Legal,86034.42,774-25-8645,63,42
237,Richard Santos,Female,India,None,Product,114061.66,056-84-9353,53,34
238,Justin Hall,Female,USA,None,Product,62564.23,868-09-0046,61,43
239,Randall Gibson,Male,USA,None,Operations,151820.34,652-09-1419,37,18
240,Katie Pearson,Female,USA,"Arabic, Mandarin",Product,90715.9,537-50-2024,54,33
241,Judith Adams,Female,USA,None,Marketing,129417.48,363-82-0159,49,29
242,Lucas Wright,Male,India,"French, Arabic",Human Resource,55783.0,736-38-5962,57,38
243,Shawn Callahan,Male,India,"French, Hindi",Product,105170.61,532-11-5135,59,38
244,Donald Wilson,Female,USA,Spanish,Product,115355.64,294-69-8782,41,21
245,Vincent Hanson,Female,India,"Mandarin, Spanish",Product,96099.38,443-17-5345,50,32
246,Heidi Reed,Female,USA,None,Operations,158354.33,417-79-4409,40,20
247,John Hess,Female,USA,Hindi,Human Resource,61509.9,255-76-1638,47,25
248,Rachel Chandler,Female,USA,None,Marketing,124419.81,825-47-7342,40,20
249,Jamie Cox,Female,India,"Arabic, French",Finance,85258.51,229-17-3903,61,40
250,Mikayla Scott,Male,China,French,Product,80613.92,298-47-9474,60,40
251,Debra Smith,Male,USA,Arabic,Sales,42684.2,010-22-3571,66,47
252,Wayne Brennan,Male,India,None,Marketing,88456.81,477-52-3691,67,48
253,Nicholas Collins,Female,USA,None,Marketing,72592.8,531-19-2309,26,5
254,Michael Cole,Female,China,Arabic,Finance,157650.86,384-85-4408,59,38
255,Lauren Schultz,Male,USA,None,Operations,82834.58,286-64-8670,50,32
256,Shawn Parker,Female,USA,None,Human Resource,60352.71,265-24-9633,66,46
257,Robert Smith,Female,USA,Hindi,Legal,124558.18,530-91-8515,46,24
258,Brooke Cooley,Male,China,None,Product,48336.4,297-41-8033,53,32
259,Shawn Gross,Female,India,French,Sales,127236.91,642-89-9998,60,40
260,Katherine Goodwin,Male,USA,Spanish,Marketing,131684.11,079-87-6601,63,41
261,Antonio Ferguson,Male,China,None,Sales,157473.83,255-64-0994,59,37
262,John Scott,Male,USA,"Hindi, Mandarin",Marketing,62148.88,036-79-7135,34,16
263,Logan Gonzalez,Male,USA,"Spanish, French",I/T,98337.85,505-49-6974,69,47
264,Paul Hancock,Male,USA,"Hindi, French",Marketing,68702.91,036-88-0922,45,24
265,Ethan Thornton,Male,USA,None,Product,55001.71,138-71-9759,53,34
266,Tina Rodriguez,Male,USA,None,Sales,84358.03,167-71-1706,47,27
267,Scott Anderson,Male,India,"Arabic, Mandarin",Administrative,43175.35,608-30-7471,25,6
268,Brian Pearson,Male,USA,None,Operations,101704.52,274-12-0721,45,26
269,Michelle Hodges,Female,USA,Hindi,Product,159554.7,154-34-4635,29,9
270,Hayley Estrada,Female,Taiwan,"French, Hindi",Product,62722.44,413-67-8180,48,30
271,Brian Robbins,Female,USA,"Hindi, Hindi",Operations,133452.56,307-40-1285,51,29
272,Jared Rowland,Male,China,"Spanish, Mandarin",Operations,89050.41,411-11-6641,48,30
273,Christopher Newman,Male,USA,"Hindi, Hindi",I/T,100879.45,614-19-5716,46,28
274,Valerie Green,Male,USA,"Mandarin, Spanish",Product,77426.29,403-74-8807,59,39
275,Ashley Jackson,Male,USA,Mandarin,Operations,86214.11,544-66-7318,55,36
276,Emily Whitney,Male,India,None,Administrative,138974.71,242-17-0887,36,16
277,Manuel Gonzalez,Female,Canada,Arabic,Product,57424.62,493-08-4881,26,8
278,Austin Salazar,Male,USA,None,Product,144546.64,172-37-1140,24,3
279,Tanya Cox,Male,USA,Hindi,Product,128780.76,247-86-8785,30,12
280,Katherine Lee,Female,USA,Mandarin,Product,114904.26,105-45-8420,56,38
281,Cynthia Macias,Female,USA,None,I/T,110633.5,133-92-0610,64,42
282,Sarah Alvarado,Male,USA,Spanish,Operations,95223.39,191-19-8048,24,3
283,Tammy Clarke,Male,USA,None,Product,65712.17,381-35-4948,30,8
284,Christopher Jacobs,Female,China,None,Operations,81356.75,070-62-6415,38,17
285,Angela Mack,Female,USA,None,Human Resource,128387.87,428-37-6025,44,22
286,Michael Scott,Male,USA,"Arabic, Arabic",Marketing,61961.73,653-92-4731,55,35
287,Darrell Gray,Male,India,Hindi,I/T,56679.54,713-11-3108,31,9
288,Gabriela Mitchell,Female,South Korea,None,Operations,150821.85,727-10-5781,25,3
289,Ashley Hutchinson,Male,USA,"Mandarin, Arabic",Marketing,127364.26,548-93-0753,58,38
290,Melissa White,Female,India,"Hindi, Arabic",Product,88826.69,691-73-2285,39,21
291,Albert Norton,Male,China,Arabic,Sales,114804.82,425-96-7728,24,2
292,Kimberly Long,Male,India,Mandarin,Operations,68730.95,312-94-4637,32,13
293,Steven Lloyd,Male,India,Spanish,Finance,94766.93,352-37-6454,33,14
294,Jodi Barnes,Female,Canada,Hindi,Product,76839.82,616-05-8917,44,25
295,Dr. Jasmine Adams,Male,USA,Mandarin,Marketing,62923.73,177-04-1148,35,16
296,Katie Thompson,Male,China,None,Operations,58916.83,185-96-0935,54,35
297,Caroline Little,Female,USA,None,Operations,91498.47,189-73-8097,50,31
298,Brittany Richardson,Male,USA,"Arabic, Spanish",Administrative,47751.36,643-31-6548,51,30
299,Peggy Neal,Female,USA,Mandarin,Product,74103.3,658-17-5743,43,23
300,Eric Lucas,Male,China,None,Administrative,69061.06,504-87-6577,40,18
301,Joseph Mathews,Female,China,Mandarin,Marketing,73646.77,561-49-7219,42,20
302,Sonya Soto,Male,South Korea,"Hindi, Arabic",Product,115386.98,099-83-6121,36,17
303,Kelsey Campbell,Male,USA,None,Operations,79524.1,679-25-2349,41,22
304,Cheryl Daniels,Male,USA,"Hindi, Spanish",I/T,77660.06,018-09-8574,55,36
305,Jamie Moore,Male,USA,None,Product,159247.04,576-58-1205,25,4
306,Audrey Cherry,Male,USA,Spanish,Administrative,106174.25,050-02-7354,27,7
307,Katelyn Cooper,Female,China,Spanish,I/T,138809.51,366-27-8302,41,19
308,Angela Davis,Female,USA,None,Product,110752.89,111-76-1666,58,36
309,Thomas Mora,Female,USA,Hindi,Marketing,57438.52,296-16-9189,52,34
310,James Wolfe,Female,USA,None,I/T,75184.49,278-32-5003,39,21
311,Michele Sullivan,Male,USA,Arabic,Operations,69983.31,286-69-1567,25,6
312,Alicia Torres,Male,USA,Hindi,I/T,128625.27,684-18-6525,68,46
313,Gary Franklin,Male,USA,None,Sales,50380.29,727-66-0431,39,19
314,Margaret Frank,Male,China,"French, Hindi",Product,77334.54,636-79-8131,46,24
315,Ray Edwards,Female,USA,Spanish,Product,128735.33,599-04-1377,44,26
316,Andrew Everett,Female,USA,Arabic,Product,133691.38,739-80-3769,36,18
317,Alyssa Hays,Male,USA,None,I/T,61841.6,359-68-8609,50,31
318,Darren Miller,Female,USA,Spanish,I/T,106864.07,291-75-7116,51,30
319,James Jenkins,Female,USA,Arabic,Legal,72236.46,378-62-4588,60,39
320,Patricia Clark,Female,USA,Hindi,Administrative,69862.83,771-48-3916,61,40
321,Randy Clark,Male,India,Spanish,I/T,105077.71,572-24-0059,53,33
322,Nicole Sandoval,Male,USA,French,Human Resource,58840.93,459-64-6138,34,16
323,Amanda Wolfe,Male,USA,"Arabic, Arabic",Marketing,119648.24,778-49-9971,59,39
324,Jessica Soto,Male,USA,Mandarin,Human Resource,80372.22,170-58-1687,53,33
325,Anthony Nunez,Female,India,Hindi,Legal,104954.41,047-57-9461,37,17
326,Christopher Wiley,Female,India,French,I/T,43548.85,164-42-0085,29,11
327,Taylor Johnson,Female,USA,"Spanish, French",Sales,106180.1,748-60-1560,57,35
328,Kenneth Gray,Female,USA,Hindi,Product,134618.15,372-77-5981,53,31
329,Janice Wood,Female,USA,"Mandarin, Arabic",Operations,59851.0,885-62-1465,69,47
330,Kimberly Reed,Male,USA,"Hindi, Spanish",Product,54301.86,470-40-3209,69,48
